name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
Филоксения - Ольхон;10;15176.8;10;10;10;10;10;107.335049;53.195651;15215_101hotels
Таёжная Сказка;9.3;3000;9.8;9.1;9.3;9.8;10;107.34968;53.1898;15216_101hotels
Алдартай;8.7;5100;8.7;9.1;8.5;8.7;8.9;107.3520782;53.1940859;17117_101hotels
Золотая рыбка;8.3;3000;9.3;9.6;9.1;9.3;0;107.34078;53.19685;26677_101hotels
Первая Экспедиция;9.1;1050;9.6;9.3;9.6;9.4;10;107.396;53.21627001;29303_101hotels
Караванка;9.1;5000;8.9;8.9;8.9;9.1;9.3;107.3194;53.1844113;70035_101hotels
СаРайский;9.1;6100;9.1;9.3;9.1;9.1;8.7;107.35335;53.20239;74178_101hotels
Копылова;8.2;1800;8.7;10;10;10;10;107.3478408;53.1910902;84801_101hotels
Вилла Малина;9.3;14000;8.5;9.4;8.5;8.7;0;107.35083;53.201089;84803_101hotels
На Первомайской;9.4;4500;9.6;9.8;9.4;9.6;8.7;107.33773;53.19736;98725_101hotels
Байкальский;9.6;7000;8.9;9.6;9.8;9.8;8.7;107.35739;53.19515;151535_101hotels
Ирбис;9.3;10000;9.1;9.3;9.4;9.4;9.4;107.3513;53.19527515;189278_101hotels
Байкал на Ворошилова;8.9;4600;0;0;0;0;0;107.35223;53.197312;189403_101hotels
MirAni;9.4;8000;9.4;8.3;8.9;9.1;0;107.334977;53.188676;378586_101hotels
Star of Baikal;9.6;7000;9.6;8.9;9.3;9.4;0;107.33588;53.1957;378839_101hotels
Теремок;9.4;2700;9.6;8.9;9.4;9.6;7.2;107.338;53.19625;379115_101hotels
Зара;8.3;1040;9.4;10;9.4;9.4;9.4;107.34747;53.193144;383193_101hotels
Беликовская;10;3500;9.4;9.8;9.6;9.4;0;107.351309;53.195981;388172_101hotels
Гостиный Двор;8.9;6500;0;0;0;0;0;107.35498;53.19539;404844_101hotels
Аленка;9.4;9975;9.1;9.1;9.1;9.1;8.7;107.342361;53.198451;422975_101hotels
Шигиных;9.4;3200;8.5;9.3;9.3;9.4;10;107.34954;53.18936;422977_101hotels
Самита;8.3;1900;8.5;8.9;8.5;8.5;8.7;107.34949;53.1955;422976_101hotels
B&B Гости;9.1;5985;8.7;8.9;9.1;9.8;8.7;107.336648;53.195026;435313_101hotels
Юрты Ольхона;8.2;0;9.3;8.7;9.3;9.3;9.3;107.33561;53.18819;481662_101hotels
На Юбилейной, 17;7.6;700;8.7;8.7;8.7;8.7;8.7;107.33068;53.1906;484661_101hotels
Ханхойская;8.2;4000;8.7;8.7;8.7;8.7;8.7;107.187;53.14752044;485014_101hotels
У Петра;6.7;600;7.6;7.9;7.6;7.6;7.9;107.42465;53.22729;489484_101hotels
Байкал Номад;7.8;1300;7;6.6;7.9;7.9;0;107.36089;53.19703;489826_101hotels
Guest House Dudeevykh;8.9;4000;8.3;9.4;8.5;8.9;0;107.33068;53.1906;489827_101hotels
Виктория;6.5;4800;0;0;0;0;0;107.34388;53.19391;489829_101hotels
На Таежной, 16;8.7;1500;10;10;10;10;10;107.34411;53.18931;496515_101hotels
Филиз;9;0;9.4;9.8;8.9;9.4;10;107.33068;53.1906;496516_101hotels
Багульник;8.7;2500;8.7;8.5;8.3;8.7;0;107.33068;53.1906;496518_101hotels
Наталья;8.5;2500;10;10;10;10;10;107.33364;53.19405;496519_101hotels
Рыбацкий берег;8.7;5500;8.5;9.1;8.5;8.7;8.7;107.336396;53.193628;496521_101hotels
Шаманка;9.6;6500;9.6;9.6;9.6;9.6;10;107.35343;53.19962;496522_101hotels
У Ирины;9.8;4000;9.6;9.8;9.6;9.8;10;107.34415;53.19521;496523_101hotels
